protocolo,cenario,tamanho_nome,execucoes,tempo_dns_medio,tempo_http_medio,tempo_total_medio,throughput_minimo,throughput_medio,throughput_maximo,throughput_desvio,retransmissoes_media,sucesso_medio
R-UDP,A,1 MB,10,0.01111435890197748,1.5809769868850707,1.59392569065094,637.2185561315355,647.9466295653044,673.4658780207596,9.884170530273622,0.0,1.0
R-UDP,A,100 KB,10,0.01127316951751705,0.17027494907379145,0.18283615112304685,557.109004726769,588.5651481751123,596.9745897202383,12.02656538122646,0.0,1.0
R-UDP,A,5 MB,10,0.011100292205810509,9.451795649528503,9.465528392791748,537.5019952476869,541.7426859793512,549.6580489904754,4.091763637259217,0.0,1.0
R-UDP,B,1 MB,10,0.4416055202484131,12.818900990486146,13.262151789665221,0.0,48.47589747644861,83.38170271386865,34.54937326868252,0.1,0.7
R-UDP,B,100 KB,10,0.05133340358734127,3.10381019115448,3.1563754320144652,0.0,59.84091930651691,129.89665829398172,31.305464304327764,0.0,0.9
R-UDP,B,5 MB,10,0.05128853321075433,57.88026769161225,57.93407089710236,0.0,63.16101651243282,90.851167856919,33.71335850549983,0.0,0.8
R-UDP,C,1 MB,10,0.10126523971557615,26.28722438812256,26.389965224266053,0.0,31.78798259222275,44.015891188191,16.93780037661033,0.0,0.8
R-UDP,C,100 KB,10,0.10136210918426511,6.187009024620056,6.289462447166443,0.0,29.17887972029747,65.64697585335372,18.945932450583328,0.4,0.9
R-UDP,C,5 MB,10,0.4916724681854247,173.33594672679902,173.82978782653808,0.0,25.468415933546467,43.55756601680006,20.65174733093497,0.1,0.7
TCP,A,1 MB,10,0.011057710647582961,0.1955133199691772,0.2079724550247192,4829.637371409298,5249.0854275006,5607.083135367121,247.5947365553016,0.0,1.0
TCP,A,100 KB,10,0.01251616477966302,0.04661800861358639,0.060966825485229456,1609.7739159751434,2171.3352418816967,2303.5424711906408,206.73356803482082,0.0,1.0
TCP,A,5 MB,10,0.01131629943847652,3.4340314626693726,3.447498822212219,1414.7548881155622,1491.907266983086,1540.2045926455476,38.136904990094095,0.0,1.0
TCP,B,1 MB,10,0.056846690177917436,0.5406837224960327,0.5987146615982055,1195.327723609813,1984.288055186074,2220.541007723808,383.08003626168056,0.0,1.0
TCP,B,100 KB,10,0.051378917694091766,0.3455633401870727,0.39800999164581297,81.98615924921917,399.35614394717993,489.74592839950816,143.39202366398533,0.0,1.0
TCP,B,5 MB,10,0.05118305683135982,3.7439244747161866,3.797024440765381,1308.2382352409045,1369.3032137569533,1451.2089027918803,51.158630510186754,0.0,1.0
TCP,C,1 MB,10,0.10129313468933102,1.0173509120941162,1.1198550701141357,551.7262099174604,1059.6688271824707,1185.6668953879089,198.34282686216844,0.0,1.0
TCP,C,100 KB,10,0.1013816356658935,0.46822361946105956,0.5705955266952515,136.59089920560902,221.40778940739065,247.6200165716488,37.76201652132411,0.0,1.0
TCP,C,5 MB,10,0.10123369693756099,4.37360520362854,4.476755285263062,1007.7746040645684,1177.6710667962604,1283.8189658759236,91.94889116870375,0.0,1.0
